rating,review,result
four,"Clean, spacious room. Pool and hot tub were clean.",genuine
four,Adequate is the word I'd use.,genuine
five,all good.,genuine
four,very nice.,genuine
one,not comfortable room with pleasant staff. No problems.,fake
five,"appears to be recently remodelled, rooms were clean and new and very pleasant",genuine
one,"appears to be recently remodelled, rooms were clean and new and very pleasant",fake
five,The only complaint was trying to regulate the heat/cooling system.,fake
four,"The room was fine...the bathroom was VERY small, but otherwise an OK stay.",genuine
two,The room smelled bad. Not very clean to say the least.  ,genuine
five,The room smelled bad. Not very clean to say the least.,fake
five,Very comfortable bed and pillows and clean. ,genuine
one,Very comfortable bed and pillows and clean. ,fake
four,It was an average no frills hotel,genuine
three,was watse of money,genuine
four,was watse of money,fake
four,Great location but subpar accommodations.,genuine
three,The room smelled as soon as you walked in. Smelled very humid.,genuine
five,wonderful acomadation !,genuine
five,Really enjoyed the spa. Great facial!,genuine
one,"Not Quiet, No friendly staff",genuine
five,"Excellent service, beautiful Christmas décor.",genuine
one,Loved the Houstonian!,fake
one,We hated it!,genuine
one,"Very comfortble, traditional, and family oriented",fake
five,Return guest. Accommodation was great as usual.,genuine
five,Fantastic hotel.,genuine
four,"Rooms and bathrooms are a little bit outdated, pool and spa is great!",genuine
four,Room were extremely small considering the amount we paid per night to stay.,fake
five,Great hotel! The pools were amazing.,genuine
five,Wonderful stay with my boyfriend,genuine
four,Good hotel.,genuine
five,excellent place to stay and food was super...great breakfast and friendly staff,genuine
four,"The room is comfortable, clean, spacious bathroom and adequate amenities",genuine
three,"Visiting for the night, great breakfast",genuine
one,great time and the breakfast was extra good the rest. ,fake
five,worst hotel don’t recommend. ,fake
three,They should clean the rugs around the elevators and the room ,fake
four,Not good,fake
four,Stayed overnight for pleasure. Room was clean and well equipped. Pool was great.,genuine
four,Good value,genuine
five,Not customer  friendly,fake
five,It ws just an over night but very good accommodations,genuine
three,"i had a great time nice hotel, friendly staff and clean room",genuine
five,Hotel Great Staff Very friendly and helpful. Room very clean overall A rating,genuine
five,very nice!,genuine
five,"I've been in worse hotels, but not in a long time.",fake
one,Excellent free breakfast & friendly staff.,fake
four,Good parking for vehicles w/ trailers.,genuine
three,Nothing major to speak of however this hotel is quite comfortable,genuine
four,"Clean, comfortable. I really liked the shower and the shower curtain!",genuine
four,Room was good and very clean,genuine
four,Perfectly fine stay off the interstate. Accessible to downtown with car.,genuine
one,Excellent free breakfast friendly staff.,fake
two,This was a nice place to stay.,fake
four,"Great location, easy access to the city",genuine
one,"Easy to access from I-9five, close to restaurants, shopping, nice little town.",fake
four,Check in was quick. The room was comfortable.,genuine
five,Gave me excellent directions to my n ext destination,genuine
five,it was very good,genuine
five,Hotel is just off Interstate and easy to get to anywhere U need to go!!,genuine
five,excellent place to stay and food was super...great breakfast and friendly staff,genuine
three,They should clean the rugs around the elevators and he room ,genuine
four,"Great hotel to stay ,,Was there for my niece to see Unity college",genuine
four,Nice! Friendly! Quiet good breakfast nice stall free newspaper,genuine
four,"Wonderful stay, Staff was so helpful",genuine
three,Hotel was clean and decent.. Service staff were friendly and helpful.,genuine
five,Staff was very nice rooms could have been I little bigger over all it was good,genuine
five,average hotel,genuine
five,Enjoyed staying,genuine
four,Overall  bad,fake
three,We only stayed two nights overall ok,genuine
five,Just a bad experience. Convenience is the only item this Hotel offers.,fake
four,staff very nice. clean place.,genuine
five,Room was really dry. And I got a rash from the salt water pool.,fake
four,goed,genuine
three,"Ok place, needs some paint and new clean carpet. Stains on bed cover.",genuine
five,Nice rooms. Very clean. Front staff was polite and courteous.,genuine
four,Nice and friendly staff,genuine
five,"Conveniently located, very efficient staff, reasonably priced.",genuine
three,I only booked this hotel because it was dog friendly,fake
one,We had good accomodation here,fake
three,"i had a great time nice hotel, friendly staff and clean room",genuine
four,overall pleasant  good breakfast. clean room easy to get to.,genuine
three,Clean rooms and nice pool. Great breakfast and wait staff.,genuine
four,Good parking for vehicles w/ trailers.,genuine
four,"Wonderful stay, Staff was so helpful",genuine
five,Problematic wifi,fake
four,Nice and friendly staff,genuine
five,Nice rooms. Very clean. Front staff was polite and courteous.,genuine
four,"Great hotel to stay ,,Was there for my niece to see Unity college",genuine
five,staff was not friendly,fake
