rating,review,result
4,"Clean, spacious room. Pool and hot tub were clean.",genuine
4,Adequate is the word I'd use.,genuine
5,all good.,genuine
4,very nice.,genuine
1,not comfortable room with pleasant staff. No problems.,fake
5,"appears to be recently remodelled, rooms were clean and new and very pleasant",genuine
1,"appears to be recently remodelled, rooms were clean and new and very pleasant",fake
5,The only complaint was trying to regulate the heat/cooling system.,fake
4,"The room was fine...the bathroom was VERY small, but otherwise an OK stay.",genuine
2,The room smelled bad. Not very clean to say the least.  ,genuine
5,The room smelled bad. Not very clean to say the least.,fake
5,Very comfortable bed and pillows and clean. ,genuine
1,Very comfortable bed and pillows and clean. ,fake
4,It was an average no frills hotel,genuine
3,was watse of money,genuine
4,was watse of money,fake
4,Great location but subpar accommodations.,genuine
3,The room smelled as soon as you walked in. Smelled very humid.,genuine
5,wonderful acomadation !,genuine
5,Really enjoyed the spa. Great facial!,genuine
1,"Not Quiet, No friendly staff",genuine
5,"Excellent service, beautiful Christmas décor.",genuine
1,Loved the Houstonian!,fake
1,We hated it!,genuine
1,"Very comfortble, traditional, and family oriented",fake
5,Return guest. Accommodation was great as usual.,genuine
5,Fantastic hotel.,genuine
4,"Rooms and bathrooms are a little bit outdated, pool and spa is great!",genuine
4,Room were extremely small considering the amount we paid per night to stay.,fake
5,Great hotel! The pools were amazing.,genuine
5,Wonderful stay with my boyfriend,genuine
4,Good hotel.,genuine
5,excellent place to stay and food was super...great breakfast and friendly staff,genuine
4,"The room is comfortable, clean, spacious bathroom and adequate amenities",genuine
3,"Visiting for the night, great breakfast",genuine
1,great time and the breakfast was extra good the rest. ,fake
5,worst hotel don’t recommend. ,fake
3,They should clean the rugs around the elevators and the room ,fake
4,Not good,fake
4,Stayed overnight for pleasure. Room was clean and well equipped. Pool was great.,genuine
4,Good value,genuine
5,Not customer  friendly,fake
5,It ws just an over night but very good accommodations,genuine
3,"i had a great time nice hotel, friendly staff and clean room",genuine
5,Hotel Great Staff Very friendly and helpful. Room very clean overall A rating,genuine
5,very nice!,genuine
5,"I've been in worse hotels, but not in a long time.",fake
1,Excellent free breakfast & friendly staff.,fake
4,Good parking for vehicles w/ trailers.,genuine
3,Nothing major to speak of however this hotel is quite comfortable,genuine
4,"Clean, comfortable. I really liked the shower and the shower curtain!",genuine
4,Room was good and very clean,genuine
4,Perfectly fine stay off the interstate. Accessible to downtown with car.,genuine
1,Excellent free breakfast friendly staff.,fake
2,This was a nice place to stay.,fake
4,"Great location, easy access to the city",genuine
1,"Easy to access from I-9five, close to restaurants, shopping, nice little town.",fake
4,Check in was quick. The room was comfortable.,genuine
5,Gave me excellent directions to my n ext destination,genuine
5,it was very good,genuine
5,Hotel is just off Interstate and easy to get to anywhere U need to go!!,genuine
5,excellent place to stay and food was super...great breakfast and friendly staff,genuine
3,They should clean the rugs around the elevators and he room ,genuine
4,"Great hotel to stay ,,Was there for my niece to see Unity college",genuine
4,Nice! Friendly! Quiet good breakfast nice stall free newspaper,genuine
4,"Wonderful stay, Staff was so helpful",genuine
3,Hotel was clean and decent.. Service staff were friendly and helpful.,genuine
5,Staff was very nice rooms could have been I little bigger over all it was good,genuine
5,average hotel,genuine
5,Enjoyed staying,genuine
